true_price,pred_price,error
35520737.00000005,32220472.0,3300265.000000052
24400000.0,18779056.0,5620944.0
22900000.00000004,27907692.0,5007691.999999959
20000000.00000001,20935452.0,935451.9999999888
16649999.999999974,17338628.0,688628.0000000261
26161776.00000002,22200312.0,3961464.0000000186
14499999.99999999,11285280.0,3214719.9999999907
11900000.00000002,11875879.0,24121.00000002049
28999999.999999948,27269792.0,1730207.9999999478
13213931.999999989,11771846.0,1442085.9999999888
39499999.99999999,32372440.0,7127559.999999993
10949999.999999989,15243841.0,4293841.000000011
21960000.00000001,26778024.0,4818023.999999989
21968490.99999998,19898560.0,2069930.9999999811
39499999.99999999,33856470.0,5643529.999999993
15000000.00000001,13540399.0,1459601.0000000093
27399999.99999997,33548816.0,6148816.00000003
9099999.999999983,11559647.0,2459647.0000000168
30489999.999999978,28248888.0,2241111.9999999776
12699999.999999996,10053603.0,2646396.9999999963
7349999.999999996,11461292.0,4111292.000000004
18432029.99999998,23998036.0,5566006.000000019
12000000.000000007,9927514.0,2072486.0000000077
11299999.99999999,14014466.0,2714466.0000000093
11598999.999999989,9283124.0,2315875.999999989
29905514.00000004,28876076.0,1029438.000000041
16400000.000000006,16818964.0,418963.9999999944
13400000.000000011,11947081.0,1452919.0000000112
48726508.00000006,46246664.0,2479844.00000006
18400000.00000003,20855504.0,2455503.99999997
13499999.999999993,11914471.0,1585528.9999999923
37355500.00000006,34094948.0,3260552.00000006
9189999.99999999,12343520.0,3153520.0000000093
34785711.00000001,31018828.0,3766883.000000008
7205000.000000005,8137789.5,932789.4999999952
31895497.99999998,33055540.0,1160042.0000000186
10300000.00000001,12603911.0,2303910.9999999907
12000000.000000007,10587475.0,1412525.0000000077
35467057.99999996,41463940.0,5996882.000000037
8289999.999999997,10672121.0,2382121.000000003
14700000.000000002,17187432.0,2487431.999999998
37999999.99999996,32641528.0,5358471.999999963
13949999.999999976,14367266.0,417266.0000000242
20999999.99999998,19931228.0,1068771.9999999814
11500000.00000002,11345560.0,154440.0000000205
31633073.00000005,34573852.0,2940778.999999952
28335215.99999998,23494404.0,4840811.999999981
18085704.000000022,15895714.0,2189990.0000000224
49800000.000000015,46809300.0,2990700.000000015
16600000.000000017,20605140.0,4005139.9999999832
17711797.99999997,15260045.0,2451752.99999997
9999999.999999996,13038301.0,3038301.000000004
37999999.99999996,37519470.0,480529.9999999628
31999999.999999955,24729136.0,7270863.999999955
22968533.999999966,28313080.0,5344546.0000000335
38999999.00000001,39358336.0,358336.9999999925
31968800.000000004,27527848.0,4440952.000000004
35100000.00000006,34812204.0,287796.0000000596
19200000.000000022,18620092.0,579908.0000000224
40200000.00000001,43392052.0,3192051.9999999925
20300000.00000001,15679839.0,4620161.000000011
15136799.999999989,15174596.0,37796.000000011176
13499999.999999993,14482546.0,982546.0000000076
18914068.99999997,24566852.0,5652783.00000003
28999999.999999948,32655976.0,3655976.000000052
24799999.99999997,19096664.0,5703335.99999997
11800000.000000011,15764855.0,3964854.999999989
34335473.99999998,28444176.0,5891297.999999978
17499999.999999985,15059120.0,2440879.999999985
19499999.99999998,16284841.0,3215158.9999999814
8189999.999999997,8514304.0,324304.0000000028
13999998.999999996,17553924.0,3553925.000000004
23140962.999999966,17249336.0,5891626.999999967
17499999.999999985,14524096.0,2975903.999999985
68650000.00000012,75045990.0,6395989.999999881
10750000.000000006,14822794.0,4072793.9999999935
8199999.999999994,12107038.0,3907038.0000000056
12390000.000000004,11957112.0,432888.0000000037
15000000.00000001,11817424.0,3182576.0000000093
63325606.00000003,63047576.0,278030.0000000298
14850000.000000017,10629785.0,4220215.000000017
19799999.99999998,25200672.0,5400672.000000019
30439054.00000001,33618060.0,3179005.999999989
25900000.0,27813052.0,1913052.0
37331749.00000004,31435988.0,5895761.000000037
15961450.000000017,8921229.0,7040221.000000017
15799999.999999998,16005237.0,205237.00000000183
8899999.999999996,9605665.0,705665.0000000037
30250000.00000001,30714100.0,464099.9999999888
35311519.999999955,35716892.0,405372.0000000447
9754000.000000004,14785550.0,5031549.999999996
8999999.999999996,10835181.0,1835181.000000004
34900000.00000001,39519388.0,4619387.999999993
44096000.00000003,36865360.0,7230640.00000003
14099999.999999976,13786749.0,313250.9999999758
28198409.999999985,30816088.0,2617678.000000015
36333999.99999994,38053516.0,1719516.0000000596
9750000.000000004,11599845.0,1849844.9999999965
42477783.00000001,39113468.0,3364315.0000000075
23100000.000000022,21555276.0,1544724.0000000224
29899999.99999997,24131376.0,5768623.99999997
16595378.000000022,16288693.0,306685.00000002235
20500000.000000022,19310052.0,1189948.0000000224
11800000.000000011,17153240.0,5353239.999999989
35948850.00000005,41636388.0,5687537.999999948
21084012.00000003,23399684.0,2315671.99999997
38220240.00000005,35029068.0,3191172.000000052
8199999.999999994,10306023.0,2106023.0000000056
16449514.000000026,23514848.0,7065333.999999974
14899999.999999996,12629636.0,2270363.9999999963
21835201.00000004,23955688.0,2120486.999999959
29412746.00000001,34796336.0,5383589.999999989
12290000.0,10876323.0,1413677.0
19499999.99999998,18196428.0,1303571.9999999814
12000000.000000007,10231752.0,1768248.0000000077
13107409.000000004,13923824.0,816414.9999999963
17299999.99999997,17453100.0,153100.0000000298
14499999.99999999,14306613.0,193386.9999999907
35355959.999999955,36386764.0,1030804.0000000448
11500000.00000002,12050846.0,550845.9999999795
25900000.0,19597648.0,6302352.0
22700000.00000004,24731212.0,2031211.999999959
11275000.00000001,6884724.5,4390275.500000009
20607312.000000022,20789416.0,182103.99999997765
24449999.99999999,21408880.0,3041119.999999989
12400000.000000017,16726572.0,4326571.999999983
7989999.999999995,14669257.0,6679257.000000005
9999999.999999996,13242892.0,3242892.000000004
18211839.99999997,24501620.0,6289780.00000003
19200000.000000022,26149932.0,6949931.999999978
15499999.999999989,16180625.0,680625.0000000112
14499999.99999999,16316897.0,1816897.0000000093
50359257.00000004,54374256.0,4014998.9999999623
29999998.999999948,25249024.0,4750974.999999948
15300000.000000017,15570850.0,270849.99999998324
11989999.999999998,12252673.0,262673.00000000186
45830000.00000002,44366024.0,1463976.0000000224
9200000.000000004,9348013.0,148012.99999999627
27999999.99999999,27918820.0,81179.99999998882
